Date,Mosq
2013-06-19,0
2013-06-19,0
2013-06-20,0
2013-06-20,0
2013-06-21,203
2013-06-21,203
2013-06-22,1294
2013-06-22,1294
2013-06-23,1821
2013-06-23,1821
2013-06-24,2025
2013-06-24,2025
2013-06-25,3572
2013-06-25,3572
2013-06-26,4205
2013-06-26,4205
2013-06-27,3871
2013-06-27,3871
2013-06-28,1598
2013-06-28,1598
2013-06-29,324
2013-06-29,324
2013-06-30,0
2013-06-30,0
2013-07-01,841
2013-07-01,841
2013-07-02,1592
2013-07-02,1592
2013-07-03,49
2013-07-03,49
2013-07-04,45
2013-07-04,45
2013-07-05,51
2013-07-05,51
2013-07-06,54
2013-07-06,54
2013-07-07,55
2013-07-07,55
2013-07-08,71
2013-07-08,71
2013-07-09,52
2013-07-09,52
2013-07-10,60
2013-07-10,60
2013-07-12,35
2013-07-12,35
2013-07-13,121
2013-07-13,121
2013-07-14,45
2013-07-14,45
2013-07-15,52
2013-07-15,52
2013-07-16,36
2013-07-16,36
2013-07-17,27
2013-07-17,27
2013-07-18,46
2013-07-18,46
2013-07-19,50
2013-07-19,50
2013-07-20,29
2013-07-20,29
2013-07-21,52
2013-07-21,52
2013-07-22,171
2013-07-22,171
2013-07-23,593
2013-07-23,593
2013-07-24,41
2013-07-24,41
2013-07-25,56
2013-07-25,56
2013-07-26,60
2013-07-26,60
2013-07-27,47
2013-07-27,47
2013-07-28,61
2013-07-28,61
2013-07-29,59
2013-07-29,59
2013-07-30,256
2013-07-30,256
2013-07-31,75
2013-07-31,75
2013-08-01,59
2013-08-01,59
2013-08-02,46
2013-08-02,46
2013-08-03,54
2013-08-03,54
2013-08-04,52
2013-08-04,52
2013-08-05,49
2013-08-05,49
2013-08-06,95
2013-08-06,95
2013-08-07,34
2013-08-07,34
2013-08-08,36
2013-08-08,36
2013-08-09,24
2013-08-09,24
2013-08-10,41
2013-08-10,41
2013-08-11,24
2013-08-11,24
2013-08-12,41
2013-08-12,41
2013-08-13,24
2013-08-13,24
2013-08-14,33
2013-08-14,33
2013-08-16,8
2013-08-16,8
2013-08-17,28
2013-08-17,28
2013-08-18,15
2013-08-18,15
2013-08-19,23
2013-08-19,23
2013-08-20,24
2013-08-20,24
2013-08-21,24
2013-08-21,24
2013-08-22,24
2013-08-22,24
2013-08-23,83
2013-08-23,83
2013-08-24,28
2013-08-24,28
2013-08-25,46
2013-08-25,46
2013-08-26,29
2013-08-26,29
2013-08-27,23
2013-08-27,23
2013-08-28,47
2013-08-28,47
2013-08-29,53
2013-08-29,53
2013-08-30,34
2013-08-30,34
2013-08-31,51
2013-08-31,51
2013-09-01,54
2013-09-01,54
2013-09-02,52
2013-09-02,52
2013-09-04,62
2013-09-04,62
2013-09-05,42
2013-09-05,42
2013-09-06,30
2013-09-06,30
2013-09-07,43
2013-09-07,43
2013-09-08,46
2013-09-08,46
2013-09-09,59
2013-09-09,59
2013-09-10,50
2013-09-10,50
2013-09-11,99
2013-09-11,99
2013-09-12,37
2013-09-12,37
2013-09-13,2
2013-09-13,2
2013-09-14,40
2013-09-14,40
2013-09-15,52
2013-09-15,52
2013-09-16,35
2013-09-16,35
2013-09-17,87
2013-09-17,87
2013-09-18,23
2013-09-18,23
2013-09-19,19
2013-09-19,19
2013-09-20,24
2013-09-20,24
2013-09-21,44
2013-09-21,44
2013-09-22,27
2013-09-22,27
2013-09-23,75
2013-09-23,75
2013-09-24,26
