Date,Mosq
2014-05-01,37
2014-05-02,37
2014-05-03,19
2014-05-04,35
2014-05-05,8
2014-05-06,19
2014-05-07,18
2014-05-08,27
2014-05-09,31
2014-05-10,19
2014-05-11,45
2014-05-12,32
2014-05-13,49
2014-05-14,87
2014-05-15,55
2014-05-16,52
2014-05-17,45
2014-05-18,45
2014-05-19,45
2014-05-20,30
2014-05-21,36
2014-05-22,34
2014-05-23,43
2014-05-24,47
2014-05-25,33
2014-05-26,9
2014-05-27,24
2014-05-28,42
2014-05-29,39
2014-05-30,27
2014-05-31,48
2014-06-01,42
2014-06-02,35
2014-06-03,29
2014-06-04,14
2014-06-05,3
2014-06-06,1
2014-06-07,4
2014-06-08,5
2014-06-09,31
2014-06-10,115
2014-06-11,207
2014-06-12,117
2014-06-13,128
2014-06-14,145
2014-06-15,4118
2014-06-16,996
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2014-11-05,25
2014-11-06,34
2014-11-07,29
2014-11-08,61
2014-11-09,22
2014-11-10,18
2014-11-11,26
2014-11-12,20
2014-11-13,19
2014-11-14,37
2014-11-15,110
2014-11-16,98
2014-11-17,159
2014-11-18,345
2014-11-19,272
2014-11-20,161
2014-11-21,163
2014-11-22,110
2014-11-23,70
2014-11-24,84
2014-11-25,20
2014-11-26,15
2014-11-27,12
2014-11-28,30
2014-11-29,31
2014-11-30,72
2014-12-01,28
2014-12-02,24
2014-12-03,20
2014-12-04,22
2014-12-05,22
2014-12-06,8
2014-12-07,17
2014-12-08,19
2014-12-09,16
2014-12-10,114
2014-12-11,411
2014-12-12,534
2014-12-13,394
2014-12-14,740
2014-12-15,248
2014-12-16,707
2014-12-17,895
2014-12-18,674
2014-12-19,1061
2014-12-20,847
2014-12-21,740
2014-12-22,963
2014-12-23,859
2014-12-24,591
2014-12-25,53
2014-12-26,21
2014-12-27,28
2014-12-28,20
2014-12-29,26
2014-12-30,316
2014-12-31,7012
2015-01-01,939
2015-01-02,777
2015-01-03,746
2015-01-04,773
2015-01-05,928
2015-01-06,629
2015-01-07,2386
2015-01-08,16
2015-01-09,20
2015-01-10,21
2015-01-11,4
2015-01-12,6
2015-01-13,19
2015-01-14,16
2015-01-15,10
2015-01-16,10
2015-01-17,10
2015-01-18,18
2015-01-19,14
2015-01-20,18
2015-01-21,10
2015-01-22,55
2015-01-23,191
2015-01-24,191
2015-01-25,100
2015-01-26,73
2015-01-27,25
2015-01-28,27
2015-01-29,35
2015-01-30,11
2015-01-31,10
2015-02-01,7
2015-02-02,12
2015-02-03,4
2015-02-04,4
2015-02-05,10
2015-02-06,47
2015-02-07,223
2015-02-08,274
2015-02-09,332
2015-02-10,613
2015-02-11,554
2015-02-12,253
2015-02-13,396
2015-02-14,342
2015-02-15,463
2015-02-16,397
2015-02-17,375
2015-02-18,276
2015-02-19,245
2015-02-20,112
2015-02-21,37
2015-02-22,5
2015-02-23,7
2015-02-24,14
2015-02-25,3
2015-02-26,2
2015-02-27,7
2015-02-28,3
2015-03-01,8
2015-03-02,6
2015-03-03,6
2015-03-04,6
2015-03-05,5
2015-03-06,83
2015-03-07,183
2015-03-08,198
2015-03-09,176
2015-03-10,139
2015-03-11,296
2015-03-12,116
2015-03-13,79
2015-03-14,127
2015-03-15,86
2015-03-16,75
2015-03-17,51
2015-03-18,42
2015-03-19,31
2015-03-20,2
2015-03-21,2
2015-03-22,0
2015-03-23,1
2015-03-24,1
2015-03-25,4
2015-03-26,3
2015-03-27,2
2015-03-28,1
2015-03-29,0
2015-03-30,3
2015-03-31,1
2015-04-01,3
2015-04-02,1
2015-04-03,1
2015-04-04,0
2015-04-05,3
2015-04-06,2
2015-04-07,1
2015-04-08,2
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,2
2015-04-15,0
2015-04-16,1
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,1
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,1
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
